Date,Open,High,Low,Close,Percent Change,Volume
2018-06-17,1247.3,1248.62,1232.41,1233.23,-1.13,226919008.0
2018-06-14,1239.26,1252.87,1241.85,1247.3,0.42,269468000.0
2018-06-13,1239.26,1243.1,1235.01,1242.07,0.23,189940992.0
2018-06-12,1241.19,1244.85,1230.42,1239.26,-0.16,271081984.0
2018-06-11,1231.64,1252.7,1223.78,1241.19,0.78,371065984.0
2018-06-10,1257.07,1259.04,1231.06,1231.64,-2.02,427745984.0
2018-06-07,1282.75,1285.84,1256.75,1257.07,-2.0,413830016.0
2018-06-06,1268.84,1295.82,1268.91,1282.75,1.1,189312992.0
2018-06-04,1273.95,1281.98,1258.58,1268.84,-0.4,403524992.0
2018-06-03,1307.66,1307.63,1273.02,1273.95,-2.58,496812000.0
2018-05-31,1327.21,1323.11,1305.61,1307.66,-1.1,327692000.0
2018-05-30,1327.21,1341.71,1318.24,1322.27,-0.37,428747008.0
2018-05-29,1336.39,1340.6,1322.34,1327.21,-0.69,407628992.0
2018-05-28,1300.41,1336.71,1291.34,1336.39,2.77,397385984.0
2018-05-27,1318.22,1318.3,1300.13,1300.41,-1.35,368198016.0
2018-05-24,1328.27,1331.02,1317.34,1318.22,-0.76,364064992.0
2018-05-23,1332.82,1333.05,1326.28,1328.27,-0.34,290099008.0
2018-05-22,1337.15,1338.29,1331.81,1332.82,-0.32,310732992.0
2018-05-21,1339.19,1340.72,1332.27,1337.13,-0.15,300710016.0
2018-05-20,1339.65,1356.94,1335.94,1339.19,-0.03,322665984.0
2018-05-17,1338.01,1348.12,1337.65,1339.65,0.12,276532000.0
2018-05-16,1333.85,1338.45,1333.54,1338.01,0.31,213126000.0
2018-05-15,1338.17,1341.18,1332.41,1333.85,-0.32,136671008.0
2018-05-14,1348.45,1350.14,1337.44,1338.17,-0.76,395136992.0
2018-05-10,1356.15,1356.93,1348.45,1348.45,-0.57,332507008.0
2018-05-09,1361.02,1365.62,1352.67,1356.15,-0.36,331771008.0
2018-05-08,1345.37,1361.02,1344.32,1361.02,1.16,476043008.0
2018-05-07,1353.64,1353.79,1344.0,1345.37,-0.61,406921984.0
